name,position,recent_team,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,target_share,air_yards_share,fantasy_points,fantasy_points_ppr,total_yards,games,pass_ypg,rush_ypg,rec_ypg,ppg,ypg,ypa,ypc,ypr,touches,ypt,comp_percentage,int_percentage,pass_td_percentage,rush_td_percentage,rec_td_percentage,total_tds,td_percentage,pr,ht,wt
A.J. Green,WR,CIN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,104,523,2,0,0,1427,86,34,0,2.88264594599605,4.79843632504344,64.3,111.3,523,16,0,0,32.69,6.96,32.69,0,0,11.13,47,11.13,0,0,0,0,0.043,2,0.043,33.87,6-4,211
A.J. Jenkins,WR,KC,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,8,17,130,0,0,0,200,44,4,0,0.518651179969311,0.953435005620122,13.6,21.6,136,7,0,0.86,18.57,3.09,19.43,0,3,16.25,10,13.6,0,0,0,0,0,0,0,33.87,6-0,190
A.J. Jenkins,WR,KC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,0,1,0,0,0,9,15,93,0,0,0,131,43,5,0,0.486262012273073,0.696457233279944,9.1,18.1,91,7,0,-0.29,13.29,2.59,13,0,-1,10.33,11,8.27,0,0,0,0,0,0,0,33.87,6-0,190
A.J. Jenkins,WR,SF,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0.0344827584922314,0.0056338026188314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,6-0,190
A.J. Ofodile,TE,BAL,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,25,0,0,0,0,0,0,0,0.231840763241053,0,2.5,6.5,25,5,0,0,5,1.3,5,0,0,6.25,4,6.25,0,0,0,0,0,0,0,33.87,0,0
AJ McCarron,QB,CIN,2015,79,119,854,6,2,12,63,0,0,972,317,44,0,14,31,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,55.26,55.26,885,7,122,4.43,0,7.89,126.43,7.18,2.21,0,133,6.65,0.664,0.017,0.05,0,0,6,0.045,98.29,0,0
AJ McCarron,QB,CIN,2017,7,14,66,0,0,1,9,0,0,105,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,2.64,66,2,33,0,0,1.32,33,4.71,0,0,14,4.71,0.5,0,0,0,0,0,0,57.67,0,0
AJ McCarron,QB,HOU,2019,21,37,225,0,1,5,43,0,0,313,130,11,0,5,39,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,16.9,264,2,112.5,19.5,0,8.45,132,6.08,7.8,0,42,6.29,0.568,0.027,0,0.2,0,1,0.024,69.04,0,0
AJ McCarron,QB,HOU,2020,1,1,20,0,0,1,12,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,20,2,10,0,0,0.4,10,20,0,0,1,20,1,0,0,0,0,0,0,113.04,0,0
AJ McCarron,QB,LV,2018,1,3,8,0,0,1,7,0,0,7,1,0,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,6,2,4,-1,0,0.06,3,2.67,-0.67,0,6,1,0.333,0,0,0,0,0,0,36.62,0,0
Aaron Brooks,QB,LV,2006,110,192,1105,3,8,26,174,1,1,1460,423,60,0,22,124,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,46.6,46.6,1229,8,138.12,15.5,0,5.82,153.62,5.76,5.64,0,214,5.74,0.573,0.042,0.016,0,0,3,0.014,73.46,0,0
Aaron Brooks,QB,NO,2000,111,192,1494,9,6,15,94,2,0,0,0,65,0,41,170,2,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,110.76,110.76,1664,8,186.75,21.25,0,13.84,208,7.78,4.15,0,233,7.14,0.578,0.031,0.047,0.049,0,11,0.047,92.62,0,0
Aaron Brooks,QB,NO,2001,312,558,3832,26,22,50,330,4,0,0,0,183,1,80,358,1,9,2,24,0,0,1,0,0,0,0,0,0,0,0,0.0357142873108387,0,253.08,253.08,4190,16,239.5,22.38,0,15.82,261.88,6.87,4.47,0,638,6.57,0.559,0.039,0.047,0.012,0,27,0.042,87.25,0,0
Aaron Brooks,QB,NO,2002,283,528,3572,27,15,36,236,8,5,0,0,165,2,62,253,2,3,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,256.18,256.18,3825,16,223.25,15.81,0,16.01,239.06,6.77,4.08,0,590,6.48,0.536,0.028,0.051,0.032,0,29,0.049,86.25,0,0
Aaron Brooks,QB,NO,2003,306,518,3546,24,8,34,195,9,7,0,0,172,0,54,175,2,5,4,20,0,0,1,0,0,0,0,0,0,0,0,0.0263157896697521,0,229.34,229.34,3721,16,221.62,10.94,0,14.33,232.56,6.85,3.24,0,572,6.51,0.591,0.015,0.046,0.037,0,26,0.045,89.5,0,0
Aaron Brooks,QB,NO,2004,309,542,3810,21,16,41,223,7,1,0,0,177,1,58,173,4,6,1,14,0,1,1,1,0,0,0,0,0,0,0,0.0357142873108387,0,243.8,244.8,3984,16,238.12,10.81,0.06,15.3,249,7.03,2.98,1,601,6.63,0.57,0.03,0.039,0.069,0,25,0.042,86.17,0,0
Aaron Brooks,QB,NO,2005,240,431,2882,13,17,33,202,2,1,0,0,145,0,45,281,2,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,169.38,169.38,3163,13,221.69,21.62,0,13.03,243.31,6.69,6.24,0,476,6.64,0.557,0.039,0.03,0.044,0,15,0.032,80.67,0,0
Aaron Brown,RB,DET,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,27,131,0,0,0,7,0,9,15,84,1,0,0,27,76,5,0,0.447412757202983,0.10985057707876,27.5,36.5,215,14,0,9.36,6,2.61,15.36,0,4.85,9.33,36,5.97,0,0,0,0,0.111,1,0.028,33.87,0,0
Aaron Brown,RB,DET,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,0,0,0,2,0,8,13,45,0,0,0,32,25,3,0,0.287091344594955,0.0881020091474056,10.3,18.3,103,3,0,19.33,15,6.1,34.33,0,3.41,5.62,25,4.12,0,0,0,0,0,0,0,33.87,0,0
Aaron Brown,RB,DET,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,9,0,0,0,0,9,0,0,0.0344827584922314,0,0.9,1.9,9,1,0,0,9,1.9,9,0,0,9,2,4.5,0,0,0,0,0,0,0,33.87,0,0
Aaron Burbridge,WR,SF,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,88,0,0,0,139,43,5,0,0.524748953059316,0.597231525927782,8.8,15.8,88,8,0,0,11,1.98,11,0,0,12.57,7,12.57,0,0,0,0,0,0,0,33.87,6-0,206
Aaron Dobson,WR,NE,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,72,519,4,1,0,995,185,25,0,2.10018578916788,3.38624979183078,75.9,112.9,519,11,0,0,47.18,10.26,47.18,0,0,14.03,37,14.03,0,0,0,0,0.108,4,0.108,33.87,6-3,210
Aaron Dobson,WR,NE,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,38,0,0,0,54,21,2,0,0.180248318240047,0.209468583809212,3.8,6.8,38,4,0,0,9.5,1.7,9.5,0,0,12.67,3,12.67,0,0,0,0,0,0,0,33.87,6-3,210
